日期,平台,版本,一级页面,页面,分项,标签id,一级点击率,一级页曝光,一级页点击
20210826,android,书库,免费,男生,风格,total,0.10200927357032458,1941,198
20210826,android,书库,全部,女生,人物,total,0.36615384615384616,1625,595
20210826,android,书库,全部,女生,情节,total,0.6433591004919185,2846,1831
20210826,android,书库,全部,女生,热门,total,0.1534090909090909,2816,432
20210826,android,书库,全部,女生,风格,total,0.2087378640776699,824,172
20210826,android,书库,全部,男生,人物,total,0.26870967741935486,3100,833
20210826,android,书库,全部,男生,流派,total,0.5624591236102028,9174,5160
20210826,android,书库,全部,男生,热门,total,0.37375635640061905,9046,3381
20210826,android,书库,全部,男生,风格,total,0.2413597733711048,1765,426
20210826,android,分类标签页-一级页,免费,女生,人物,total,0.17655897821187078,3993,705
20210826,android,分类标签页-一级页,免费,女生,全部分类,total,0.4434764784257456,19514,8654
20210826,android,分类标签页-一级页,免费,女生,情节,total,0.20386194650982134,9011,1837
20210826,android,分类标签页-一级页,免费,女生,热门,total,0.11214274599304944,19279,2162
20210826,android,分类标签页-一级页,免费,女生,风格,total,0.1779467680608365,2630,468
20210826,android,分类标签页-一级页,免费,男生,人物,total,0.16383546258598905,7123,1167
20210826,android,分类标签页-一级页,免费,男生,全部分类,total,0.3842161270006732,46047,17692
20210826,android,分类标签页-一级页,免费,男生,流派,total,0.3265602322206096,10335,3375
20210826,android,分类标签页-一级页,免费,男生,热门,total,0.11137648088155312,42289,4710
20210826,android,分类标签页-一级页,免费,男生,风格,total,0.12059064807219032,4876,588
20210826,android,分类标签页-一级页,全部,女生,人物,total,0.14166666666666666,3240,459
20210826,android,分类标签页-一级页,全部,女生,全部分类,total,0.5259606922851277,13636,7172
20210826,android,分类标签页-一级页,全部,女生,情节,total,0.23099772846409225,5723,1322
20210826,android,分类标签页-一级页,全部,女生,热门,total,0.1354915178902141,13499,1829
20210826,android,分类标签页-一级页,全部,女生,风格,total,0.23919043238270468,2174,520
20210826,android,分类标签页-一级页,全部,男生,人物,total,0.20137299771167047,9177,1848
20210826,android,分类标签页-一级页,全部,男生,全部分类,total,0.626157640426817,39736,24881
20210826,android,分类标签页-一级页,全部,男生,流派,total,0.3946459412780656,12738,5027
20210826,android,分类标签页-一级页,全部,男生,热门,total,0.18213386348575214,37725,6871
20210826,android,分类标签页-一级页,全部,男生,风格,total,0.197497192363228,6233,1231
20210826,android,分类标签页-查看更多,二级页,二级页,二级页,total,0.8240114000712504,8421,6939
20210826,ios,书库,全部,女生,人物,total,0.6,15,9
20210826,ios,书库,全部,女生,情节,total,0.5,34,17
20210826,ios,书库,全部,女生,风格,total,0.42857142857142855,7,3
20210826,ios,书库,全部,男生,人物,total,0.15,20,3
20210826,ios,书库,全部,男生,流派,total,0.6212121212121212,66,41
20210826,ios,书库,全部,男生,风格,total,0.0,6,0
20210826,ios,分类标签页-一级页,免费,女生,人物,total,0.11510791366906475,556,64
20210826,ios,分类标签页-一级页,免费,女生,全部分类,total,0.2902925284143842,5367,1558
20210826,ios,分类标签页-一级页,免费,女生,情节,total,0.0822239624119029,2554,210
20210826,ios,分类标签页-一级页,免费,女生,热门,total,0.06015318512983374,5353,322
20210826,ios,分类标签页-一级页,免费,女生,风格,total,0.1484375,384,57
20210826,ios,分类标签页-一级页,免费,男生,人物,total,0.10925306577480491,897,98
20210826,ios,分类标签页-一级页,免费,男生,全部分类,total,0.22547728768926925,12152,2740
20210826,ios,分类标签页-一级页,免费,男生,情节,total,0.0,3,0
20210826,ios,分类标签页-一级页,免费,男生,流派,total,0.19250985545335086,1522,293
20210826,ios,分类标签页-一级页,免费,男生,热门,total,0.04083312752119865,12147,496
20210826,ios,分类标签页-一级页,免费,男生,风格,total,0.09779179810725552,634,62
20210826,ios,分类标签页-一级页,全部,女生,人物,total,0.12041116005873716,681,82
20210826,ios,分类标签页-一级页,全部,女生,全部分类,total,0.37295528898582336,4585,1710
20210826,ios,分类标签页-一级页,全部,女生,情节,total,0.15644955300127714,1566,245
20210826,ios,分类标签页-一级页,全部,女生,流派,total,0.0,4,0
20210826,ios,分类标签页-一级页,全部,女生,热门,total,0.06618610747051114,4578,303
20210826,ios,分类标签页-一级页,全部,女生,风格,total,0.23024830699774265,443,102
20210826,ios,分类标签页-一级页,全部,男生,人物,total,0.18181818181818182,1672,304
20210826,ios,分类标签页-一级页,全部,男生,全部分类,total,0.4337595453738235,11262,4885
20210826,ios,分类标签页-一级页,全部,男生,流派,total,0.29859634198213525,2351,702
20210826,ios,分类标签页-一级页,全部,男生,热门,total,0.09723825592753751,11261,1095
20210826,ios,分类标签页-一级页,全部,男生,风格,total,0.17711864406779662,1180,209
20210826,ios,分类标签页-查看更多,二级页,二级页,二级页,total,0.8116213683223993,1067,866
20210827,android,书库,免费,女生,人物,total,0.3271923360353721,1357,444
20210827,android,书库,免费,女生,情节,total,0.5606625258799172,2415,1354
20210827,android,书库,免费,女生,热门,total,0.19572506286672256,2386,467
20210827,android,书库,免费,女生,风格,total,0.16984924623115577,995,169
20210827,android,书库,免费,男生,人物,total,0.1197671815536154,4467,535
20210827,android,书库,免费,男生,流派,total,0.49241803278688523,4880,2403
20210827,android,书库,免费,男生,热门,total,0.35022661722290893,4854,1700
20210827,android,书库,免费,男生,风格,total,0.10554089709762533,1895,200
20210827,android,书库,全部,女生,人物,total,0.33354153653966273,1601,534
20210827,android,书库,全部,女生,情节,total,0.6353356890459364,2830,1798
20210827,android,书库,全部,女生,热门,total,0.15329512893982808,2792,428
20210827,android,书库,全部,女生,风格,total,0.18250950570342206,789,144
20210827,android,书库,全部,男生,人物,total,0.26866644929898925,3067,824
20210827,android,书库,全部,男生,流派,total,0.561993561993562,9009,5063
20210827,android,书库,全部,男生,热门,total,0.3769144144144144,8880,3347
20210827,android,书库,全部,男生,风格,total,0.24970414201183433,1690,422
20210827,android,分类标签页-一级页,免费,女生,人物,total,0.1876765083440308,3895,731
20210827,android,分类标签页-一级页,免费,女生,全部分类,total,0.4406573663073346,18924,8339
20210827,android,分类标签页-一级页,免费,女生,情节,total,0.20425483761457508,8837,1805
20210827,android,分类标签页-一级页,免费,女生,热门,total,0.11694434027963786,18667,2183
20210827,android,分类标签页-一级页,免费,女生,风格,total,0.18216175359032502,2646,482
20210827,android,分类标签页-一级页,免费,男生,人物,total,0.16467276565798733,7105,1170
20210827,android,分类标签页-一级页,免费,男生,全部分类,total,0.38414444098134376,44918,17255
20210827,android,分类标签页-一级页,免费,男生,流派,total,0.3339598377683253,10109,3376
20210827,android,分类标签页-一级页,免费,男生,热门,total,0.10946300252476208,41192,4509
20210827,android,分类标签页-一级页,免费,男生,风格,total,0.1263267429760666,4805,607
20210827,android,分类标签页-一级页,全部,女生,人物,total,0.14556754988550866,3057,445
20210827,android,分类标签页-一级页,全部,女生,全部分类,total,0.535247256876597,13306,7122
20210827,android,分类标签页-一级页,全部,女生,情节,total,0.2339244133978148,5583,1306
20210827,android,分类标签页-一级页,全部,女生,热门,total,0.13786569652872518,13194,1819
20210827,android,分类标签页-一级页,全部,女生,风格,total,0.25,2032,508
20210827,android,分类标签页-一级页,全部,男生,人物,total,0.1976364659538548,8885,1756
20210827,android,分类标签页-一级页,全部,男生,全部分类,total,0.621269035532995,39400,24478
20210827,android,分类标签页-一级页,全部,男生,流派,total,0.38718505996941155,12423,4810
20210827,android,分类标签页-一级页,全部,男生,热门,total,0.17775642565457603,37467,6660
20210827,android,分类标签页-一级页,全部,男生,风格,total,0.1935429628384059,5947,1151
20210827,android,分类标签页-查看更多,二级页,二级页,二级页,total,0.822708919613361,8173,6724
20210827,ios,书库,全部,女生,人物,total,0.36363636363636365,11,4
20210827,ios,书库,全部,女生,情节,total,0.41379310344827586,29,12
20210827,ios,书库,全部,女生,风格,total,0.75,4,3
20210827,ios,书库,全部,男生,人物,total,0.09090909090909091,22,2
20210827,ios,书库,全部,男生,流派,total,0.45901639344262296,61,28
20210827,ios,书库,全部,男生,风格,total,0.16666666666666666,6,1
20210827,ios,分类标签页-一级页,免费,女生,人物,total,0.15118110236220472,635,96
20210827,ios,分类标签页-一级页,免费,女生,全部分类,total,0.27959649790635704,5254,1469
20210827,ios,分类标签页-一级页,免费,女生,情节,total,0.10388580491673276,2522,262
20210827,ios,分类标签页-一级页,免费,女生,热门,total,0.06286911792722423,5249,330
20210827,ios,分类标签页-一级页,免费,女生,风格,total,0.22748815165876776,422,96
20210827,ios,分类标签页-一级页,免费,男生,人物,total,0.12142038946162657,873,106
20210827,ios,分类标签页-一级页,免费,男生,全部分类,total,0.22941596713698875,11198,2569
20210827,ios,分类标签页-一级页,免费,男生,情节,total,0.0,1,0
20210827,ios,分类标签页-一级页,免费,男生,流派,total,0.22456140350877193,1425,320
20210827,ios,分类标签页-一级页,免费,男生,热门,total,0.044390853876384424,11196,497
20210827,ios,分类标签页-一级页,免费,男生,风格,total,0.08809135399673736,613,54
20210827,ios,分类标签页-一级页,全部,女生,人物,total,0.11442006269592477,638,73
20210827,ios,分类标签页-一级页,全部,女生,全部分类,total,0.37863860277653383,4466,1691
20210827,ios,分类标签页-一级页,全部,女生,情节,total,0.16970091027308193,1538,261
20210827,ios,分类标签页-一级页,全部,女生,流派,total,0.0,2,0
20210827,ios,分类标签页-一级页,全部,女生,热门,total,0.07963212202781517,4458,355
20210827,ios,分类标签页-一级页,全部,女生,风格,total,0.20147420147420148,407,82
20210827,ios,分类标签页-一级页,全部,男生,人物,total,0.17570215545395165,1531,269
20210827,ios,分类标签页-一级页,全部,男生,全部分类,total,0.4348148835482973,10777,4686
20210827,ios,分类标签页-一级页,全部,男生,情节,total,0.0,5,0
20210827,ios,分类标签页-一级页,全部,男生,流派,total,0.30027051397655546,2218,666
20210827,ios,分类标签页-一级页,全部,男生,热门,total,0.09663358991004359,10783,1042
20210827,ios,分类标签页-一级页,全部,男生,风格,total,0.16180620884289745,1063,172
20210827,ios,分类标签页-查看更多,二级页,二级页,二级页,total,0.8501469147894222,1021,868
20210828,android,书库,免费,女生,人物,total,0.3286661753868828,1357,446
20210828,android,书库,免费,女生,情节,total,0.5724762726488352,2318,1327
20210828,android,书库,免费,女生,热门,total,0.21541155866900175,2284,492
20210828,android,书库,免费,女生,风格,total,0.17182817182817184,1001,172
20210828,android,书库,免费,男生,人物,total,0.11731336510097572,4407,517
20210828,android,书库,免费,男生,流派,total,0.4945878434637802,4804,2376
20210828,android,书库,免费,男生,热门,total,0.35475036865388665,4747,1684
20210828,android,书库,免费,男生,风格,total,0.10904392764857881,1935,211
20210828,android,书库,全部,女生,人物,total,0.3354192740926158,1598,536
20210828,android,书库,全部,女生,情节,total,0.6449874236435501,2783,1795
20210828,android,书库,全部,女生,热门,total,0.1478102189781022,2740,405
20210828,android,书库,全部,女生,风格,total,0.21875,800,175
20210828,android,书库,全部,男生,人物,total,0.26179018286814243,3117,816
20210828,android,书库,全部,男生,流派,total,0.5636001328462305,9033,5091
20210828,android,书库,全部,男生,热门,total,0.3724478348665021,8914,3320
20210828,android,书库,全部,男生,风格,total,0.220162224797219,1726,380
20210828,android,分类标签页-一级页,免费,女生,人物,total,0.18364811133200795,4024,739
20210828,android,分类标签页-一级页,免费,女生,全部分类,total,0.43348999313513226,18937,8209
20210828,android,分类标签页-一级页,免费,女生,情节,total,0.20374943870678042,8908,1815
20210828,android,分类标签页-一级页,免费,女生,热门,total,0.11500828744051757,18703,2151
20210828,android,分类标签页-一级页,免费,女生,风格,total,0.1768756795940558,2759,488
20210828,android,分类标签页-一级页,免费,男生,人物,total,0.16418563922942206,6852,1125
20210828,android,分类标签页-一级页,免费,男生,全部分类,total,0.38204892486378617,44599,17039
20210828,android,分类标签页-一级页,免费,男生,流派,total,0.3263093289689034,9776,3190
20210828,android,分类标签页-一级页,免费,男生,热门,total,0.10461266828514677,40779,4266
20210828,android,分类标签页-一级页,免费,男生,风格,total,0.11783507351374388,4693,553
20210828,android,分类标签页-一级页,全部,女生,人物,total,0.14156723637536278,3101,439
20210828,android,分类标签页-一级页,全部,女生,全部分类,total,0.5242428877332518,13076,6855
20210828,android,分类标签页-一级页,全部,女生,情节,total,0.235773831098224,5518,1301
20210828,android,分类标签页-一级页,全部,女生,热门,total,0.13799753162604134,12964,1789
20210828,android,分类标签页-一级页,全部,女生,风格,total,0.25170731707317073,2050,516
20210828,android,分类标签页-一级页,全部,男生,人物,total,0.2035225048923679,8687,1768
20210828,android,分类标签页-一级页,全部,男生,全部分类,total,0.6175425234831176,39390,24325
20210828,android,分类标签页-一级页,全部,男生,流派,total,0.388169752580698,12206,4738
20210828,android,分类标签页-一级页,全部,男生,热门,total,0.1760525753366104,37432,6590
20210828,android,分类标签页-一级页,全部,男生,风格,total,0.20355356218733828,5797,1180
20210828,android,分类标签页-查看更多,二级页,二级页,二级页,total,0.8287404051843463,7947,6586
20210828,ios,书库,全部,女生,人物,total,0.16666666666666666,6,1
20210828,ios,书库,全部,女生,情节,total,0.46153846153846156,26,12
20210828,ios,书库,全部,女生,风格,total,0.0,3,0
20210828,ios,书库,全部,男生,人物,total,0.25,20,5
20210828,ios,书库,全部,男生,流派,total,0.6666666666666666,60,40
20210828,ios,书库,全部,男生,风格,total,0.3333333333333333,9,3
20210828,ios,分类标签页-一级页,免费,女生,人物,total,0.12286158631415241,643,79
20210828,ios,分类标签页-一级页,免费,女生,全部分类,total,0.2852401405700898,5122,1461
20210828,ios,分类标签页-一级页,免费,女生,情节,total,0.09354575163398693,2448,229
20210828,ios,分类标签页-一级页,免费,女生,热门,total,0.056673832323627125,5117,290
20210828,ios,分类标签页-一级页,免费,女生,风格,total,0.21232876712328766,438,93
20210828,ios,分类标签页-一级页,免费,男生,人物,total,0.11194029850746269,804,90
20210828,ios,分类标签页-一级页,免费,男生,全部分类,total,0.23453707260852863,10412,2442
20210828,ios,分类标签页-一级页,免费,男生,情节,total,0.0,4,0
20210828,ios,分类标签页-一级页,免费,男生,流派,total,0.23187311178247735,1324,307
20210828,ios,分类标签页-一级页,免费,男生,热门,total,0.04561605685201191,10413,475
20210828,ios,分类标签页-一级页,免费,男生,风格,total,0.07513416815742398,559,42
20210828,ios,分类标签页-一级页,全部,女生,人物,total,0.10679611650485436,618,66
20210828,ios,分类标签页-一级页,全部,女生,全部分类,total,0.3708479020979021,4576,1697
20210828,ios,分类标签页-一级页,全部,女生,情节,total,0.1598984771573604,1576,252
20210828,ios,分类标签页-一级页,全部,女生,流派,total,0.0,2,0
20210828,ios,分类标签页-一级页,全部,女生,热门,total,0.06895796847635727,4568,315
20210828,ios,分类标签页-一级页,全部,女生,风格,total,0.21739130434782608,391,85
20210828,ios,分类标签页-一级页,全部,男生,人物,total,0.1755464480874317,1464,257
20210828,ios,分类标签页-一级页,全部,男生,全部分类,total,0.4320424501954943,10742,4641
20210828,ios,分类标签页-一级页,全部,男生,情节,total,0.3333333333333333,3,1
20210828,ios,分类标签页-一级页,全部,男生,流派,total,0.2868470149253731,2144,615
20210828,ios,分类标签页-一级页,全部,男生,热门,total,0.09236201449544694,10762,994
20210828,ios,分类标签页-一级页,全部,男生,风格,total,0.15217391304347827,1012,154
20210828,ios,分类标签页-查看更多,二级页,二级页,二级页,total,0.8522504892367906,1022,871
20210829,android,书库,免费,女生,人物,total,0.3467741935483871,1364,473
20210829,android,书库,免费,女生,情节,total,0.5481511580658269,2461,1349
20210829,android,书库,免费,女生,热门,total,0.20419063270336893,2434,497
20210829,android,书库,免费,女生,风格,total,0.17543859649122806,1026,180
20210829,android,书库,免费,男生,人物,total,0.12719495722647456,4442,565
20210829,android,书库,免费,男生,流派,total,0.5108002468627855,4861,2483
20210829,android,书库,免费,男生,热门,total,0.3352709155075773,4817,1615
20210829,android,书库,免费,男生,风格,total,0.10510510510510511,1998,210
20210829,android,书库,全部,女生,人物,total,0.35297691373025514,1646,581
20210829,android,书库,全部,女生,情节,total,0.6474089635854342,2856,1849
20210829,android,书库,全部,女生,热门,total,0.15007112375533427,2812,422
20210829,android,书库,全部,女生,风格,total,0.20738974970202623,839,174
20210829,android,书库,全部,男生,人物,total,0.2611672644277796,3067,801
20210829,android,书库,全部,男生,流派,total,0.5588138746033483,9139,5107
20210829,android,书库,全部,男生,热门,total,0.37502777160630973,9002,3376
20210829,android,书库,全部,男生,风格,total,0.23297491039426524,1674,390
20210829,android,分类标签页-一级页,免费,女生,人物,total,0.18351870576339738,3956,726
20210829,android,分类标签页-一级页,免费,女生,全部分类,total,0.4297786303074291,19289,8290
20210829,android,分类标签页-一级页,免费,女生,情节,total,0.1998227735932654,9028,1804
20210829,android,分类标签页-一级页,免费,女生,热门,total,0.11269158093638464,19052,2147
20210829,android,分类标签页-一级页,免费,女生,风格,total,0.18105743628756182,2629,476
20210829,android,分类标签页-一级页,免费,男生,人物,total,0.15520968439256377,6939,1077
